name;lat;lng;capital
Saint-Jacques-de-la-Lande;48.0903;-1.6956;
La Fleche;47.6997;-0.0761;minor
Thouars;46.975;-0.2153;
Roquebrune-sur-Argens;43.4433;6.6378;
Canteleu;49.4511;1.0361;
Saint-Brevin-les-Pins;47.2464;-2.1669;
Lieusaint;48.6322;2.5486;
Woippy;49.1511;6.1514;
Saint-Fargeau;48.5328;2.5447;
Saint-Jean-de-Luz;43.3903;-1.6597;
Rixheim;47.7486;7.4044;
Montataire;49.2556;2.4383;
Lons;43.315;-0.4108;
Mions;45.6631;4.9531;
Chateau-d'Olonne;46.5042;-1.7372;
Audincourt;47.4828;6.8397;
Plerin;48.5344;-2.7708;
Ostwald;48.5511;7.7136;
Bayeux;49.2786;-0.7039;minor
Amberieu-en-Bugey;45.9581;5.3578;
Roncq;50.7536;3.1203;
Berck-sur-Mer;50.4083;1.5928;
Sainte-Maxime;43.3089;6.6378;
